version,time,type,id,state,edges,number,begin,end,depart,time2,id3,id4,type5,depart6,route,distance,speedFactor,state7,pos,speed,posLat,waitingTime,id8,value
1.8.0,100,micro,!155,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!156,0,489945116#0 489945116#1 489945116#2 506695196#1 167533249#0,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!157,0,565242144#2 565242144#3 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!158,0,506695195,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!161,0,565242144#2 565242144#3 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!164,0,565242144#2 565242144#3 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!165,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!166,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!167,0,565242144#2 565242144#3 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!170,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!171,0,167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!173,0,gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!174,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!175,0,gneE0 gneE1 746397613#1 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!176,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!177,0,gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!178,0,gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!179,0,216650113 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!180,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!181,0,506695204#1 506695197#0 506695197#1 489945116#5 489945116#6,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!185,0,506695204#1 506695197#0,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!188,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!19,0,565242144#2 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!190,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!191,0,489945116#0 506695195 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!192,0,506695195 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!193,0,489945116#0 489945116#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
